Entidad,RUC,original_address,formatted_address,lat,lng,confidence
MUNICIPALIDAD DISTRITAL DE HUANGASCAR,PE-RUC  20176171503,PERU LIMA AV. 28 DE JULIO KM.45,"Av. 28 de Julio, Lima, Peru",-12.0627478,-77.0262624,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SAN CRISTOBAL - PICOTA,PE-RUC  20206035260,PERU SAN MARTIN PLAZA DE ARMAS S/N,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE HUAYANA,PE-RUC  20288749443,PERU APURIMAC PLAZA DE ARMAS,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CHOCOS,PE-RUC  20155998807,PERU LIMA PLAZA DE ARMAS Nº1,"X22P+446 Plaza de Armas Santa Anita, Santa Anita 15009, Peru",-12.0497222,-76.9647222,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE ANCASH - UNIDAD DE GESTION EDUCATIVA DE CORONGO,PE-RUC  20286922342,PERU ANCASH JR. LIMA NRO 600,"Jr. Lima, Peru",-9.4565778,-78.2851158,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE GRANADA,PE-RUC  20202348221,PERU AMAZONAS PLAZA DE ARMAS,"Amazonas, Peru",-5.115146,-78.11082789999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE JULCAMARCA,PE-RUC  20154443399,PERU HUANCAVELICA PLAZA DE ARMAS S/N,"Huancavelica 09001, Peru",-12.7861978,-74.9764024,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SANGALLAYA,PE-RUC  20205137131,PERU LIMA PLAZA PRINCIPAL S/N,"Principal, San Juan de Miraflores 15806, Peru",-12.131212,-76.9601722,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE MANAS,PE-RUC  20195390674,PERU LIMA PLAZA LOS LIBERTADORES S/N,"Plaza Los Libertadores, C. Los Libertadores 530, San Isidro 15073, Peru",-12.1033126,-77.0379384,ROOFTOP
MUNICIPALIDAD DISTRITAL DE MOLINOS - JAUJA,PE-RUC  20281832329,PERU JUNIN PLAZA PRINCIPAL S/N MOLINOS,"3MJP+JR2 Plaza Principal De Concepción, 755, Concepción 12126, Peru",-11.9184824,-75.3129751,GEOMETRIC_CENTER
PROGRAMA NACIONAL DE INNOVACION AGRARIA- PNIA,PE-RUC  20563395746,PERU LIMA LA MOLINA NRO 1981,"La Molina, Peru",-12.0820196,-76.928234,APPROXIMATE
SERVICIO DE ADMINISTRACION TRIBUTARIA DE PIURA,PE-RUC  20441554436,PERU PIURA LIBERTAD 543 - 567,"Libertad 543, Piura 20001, Peru",-5.1947173,-80.6256571,ROOFTOP
MANCOMUNIDAD MUNICIPAL VALLE DE LAS CATARATAS - BONGARÁ - REGIÓN AMAZONAS,PE-RUC  20539018834,PERU AMAZONAS JR SANTA CATALINA S/N MZA. N° LOTE 03,"Amazonas, Peru",-5.115146,-78.11082789999999,APPROXIMATE
INSTITUTO VIAL PROVINCIAL MUNICIPAL DE AYABACA,PE-RUC  20525933441,PERU PIURA CALLE MERINO NRO. 221 AYABACA - PIURA,"C. Merino 221, Ayabaca 20541, Peru",-4.6414123,-79.7155993,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE TIPAN,PE-RUC  20203786892,PERU AREQUIPA PLAZA DE ARMAS S/N,"Pl. de Armas, Arequipa 04001, Peru",-16.3992342,-71.5370862,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE PARCO,PE-RUC  20204027251,PERU JUNIN JR.AMAUTA 315,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
GOBIERNO REGIONAL DE LA LIBERTAD-EDUCACION USE ALTO CHICAMA - GRAN CHIMU,PE-RUC  20355712053,PERU LA LIBERTAD BOLOGNESI CASCAS,"Bolognesi, Cascas, Peru",-7.4804628,-78.819154,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE PIURA - UNIDAD DE GESTION EDUCATIVA LOCAL DE HUANCABAMBA,PE-RUC  20526012071,PERU PIURA AV CENTENARIO SN,"Piura, Peru",-5.1782884,-80.6548882,APPROXIMATE
MANCOMUNIDAD MUNICIPAL TILACANCHA - REGIÓN  AMAZONAS,PE-RUC  20606058081,PERU AMAZONAS JR.PORVENIR S/N,"Jr. El Porvenir, Lonya Grande 01556, Peru",-6.097113,-78.421179,GEOMETRIC_CENTER
UNIDAD EJECUTORA EDUCACION CHUPACA,PE-RUC  20600662806,PERU JUNIN FELIX ALDAO,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE QUINOCAY,PE-RUC  20195570141,PERU LIMA PLAZA DE ARMAS S/N,"Lima Main Square, Jr. Junín cdra. 1, Lima 15001, Peru",-12.0459618,-77.0305324,ROOFTOP
GOBIERNO REGIONAL DE ANCASH-EDUCACION USE AIJA,PE-RUC  20406940307,PERU ANCASH AV. 28 DE JULIO AIJA,"Av 28 de julio, Chimbote 02804, Peru",-9.0951788,-78.5683981,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE AREQUIPA - UGEL CASTILLA,PE-RUC  20601769655,PERU AREQUIPA JUAN PABLO VIZCARDO Y GUZMAN 402 MZA. F1 LOTE. 19,"F1 LOTE, C. Juan Pablo Vizcardo y Guzman 402, Arequipa 04012, Peru",-16.4484199,-71.5267975,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE CARAMPOMA,PE-RUC  20257413153,PERU LIMA PLAZA PRINCIPAL S/N,"Principal, San Juan de Miraflores 15806, Peru",-12.131212,-76.9601722,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE APURIMAC - UNIDAD DE GESTION EDUCATIVA LOCAL HUANCARAMA,PE-RUC  20490742639,PERU APURIMAC JR. LIBERTAD S/N,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
GOBIERNO REGIONAL DE PUNO - UNIDAD DE GESTION EDUCATIVA LOCAL DE MOHO,PE-RUC  20448689973,PERU PUNO JR. LIMA NRO. 352 BARRIO CAPAJOCHA (A UNA COSTADO DEL IE COMERCIAL MOHO) PUNO - MOHO - MOHO,"Moho, Peru",-15.3575208,-69.5007996,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE YANTALO,PE-RUC  20195460559,PERU SAN MARTIN JR. LIBERTAD NO 357,Peru,-9.189967,-75.015152,APPROXIMATE
GOBIERNO REGIONAL DE ANCASH - UNIDAD DE GESTION EDUCATIVA LOCAL DE BOLOGNESI,PE-RUC  20571443784,PERU ANCASH JR. ESPINAR NRO. 441 CENT CHIQUIAN (A 2 CDRAS ANTES DE LA POSTA MEDICA) ANCASH - BOLOGNESI - CHIQUIAN,"Jr. Espinar 441, Chiquian 02413, Peru",-10.1490764,-77.1557473,RANGE_INTERPOLATED
GOBIERNO REGIONAL DE AREQUIPA -  UGEL CONDESUYOS,PE-RUC  20601769701,PERU AREQUIPA AV. LIMA NRO. 202 USE-CONDESUYOS,"Ca. Lima 202, Yanahuara 04017, Peru",-16.3894266,-71.5430689,ROOFTOP
CONCEJO DISTRITAL DE SAN JUAN DE SIGUAS,PE-RUC  20206804824,PERU AREQUIPA PLAZA PRINCIPAL KM 918,"Pl. Principal, Characato 04012, Peru",-16.469155,-71.4844938,GEOMETRIC_CENTER
MANCOMUNIDAD MUNICIPAL ALTO UTCUBAMBA,PE-RUC  20606050799,PERU AMAZONAS JR. SUCRE N° 121,"Amazonas, Peru",-5.115146,-78.11082789999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CHACABAMBA,PE-RUC  20178524349,PERU HUANUCO PLAZA DE ARMAS,"3QC6+54W Plaza de Armas de Huanuco, Jirón Dámaso Beraún, Huánuco 10001, Peru",-9.9295128,-76.2396813,GEOMETRIC_CENTER
"EMPRESA DE SEGURIDAD, VIGILANCIA Y CONTROL S.A.C.",PE-RUC  20100162076,PERU LIMA ARENALES N° 1302 -0F. 301 - LIMA,"0f, Av. Gral. Juan Antonio Álvarez de Arenales 1302, Jesús María 15072, Peru",-12.0781849,-77.0367809,ROOFTOP
GOBIERNO REGIONAL DE MOQUEGUA - UNIDAD EJECUTORA 303 SANCHEZ CERRO,PE-RUC  20453944337,PERU MOQUEGUA CALLE AREQUIPA 101,"Arequipa, Moquegua 18001, Peru",-17.1947339,-70.9326095,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TANTARANCHE,PE-RUC  20262617085,PERU LIMA PLAZA PRINCIPAL S/N,"Principal, San Juan de Miraflores 15806, Peru",-12.131212,-76.9601722,GEOMETRIC_CENTER
