Entidad,RUC,original_address,formatted_address,lat,lng,confidence
MUNICIPALIDAD DISTRITAL DE YAUYA,PE-RUC  20231267884,PERU ANCASH PLAZA DE ARMAS S/N,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
GOBIERNO REGIONAL DE CAJAMARCA - DIRECCION SUB REGIONAL DE SALUD JAEN,PE-RUC  20188742450,PERU CAJAMARCA BOLÍVAR 1560 JAEN,"Simón Bolívar 1560, Jaén 06801, Peru",-5.6879332,-78.8055188,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE ACOSTAMBO,PE-RUC  20287881691,PERU HUANCAVELICA PLAZA PRINCIPAL S/N,"Huancavelica 09001, Peru",-12.7861978,-74.9764024,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE ANDARAPA,PE-RUC  20207761886,PERU APURIMAC JR.SAN FRANCISCO 101,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
CORTE SUPERIOR DE JUSTICIA DE PIURA,PE-RUC  20529808446,PERU PIURA CAL. LIMA SUR NRO. 997 (PODER JUDICIAL) PIURA - PIURA - PIURA,"Piura, Peru",-5.1782884,-80.6548882,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE QUILCAPUNCU,PE-RUC  20195320111,PERU PUNO PLAZA DE ARMAS Nº3 2DO PISO INT.6,"Plaza Mayor de Puno, Jr. Deustua 458, Puno 21001, Peru",-15.8405816,-70.0279072,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CHAVIÑA,PE-RUC  20287533811,PERU AYACUCHO PLAZA DE ARMAS,"Plaza de Armas, Ayacucho 05003, Peru",-13.1602899,-74.2258196,GEOMETRIC_CENTER
EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE HUANUCO,PE-RUC  20126850680,PERU HUANUCO JR. DAMASO BERAÚN N° 545-HUANUCO,"Jirón Dámaso Beraún 545, Huánuco 10001, Peru",-9.927723799999999,-76.2412811,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CHACOCHE,PE-RUC  20216026048,PERU APURIMAC PLAZA DE ARMAS,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
MUNICIPALIDAD DISTRITAL  DE KUMPIRUSHIATO,PE-RUC  20608010212,PERU CUSCO AV. LIBERTADORES S/N MZ A LOTE 1,"Av. Libertadores, Cusco 08007, Peru",-13.5366791,-71.983685,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE HUANCARAMA,PE-RUC  20196029584,PERU APURIMAC PASAJE EZEQUIEL PALOMINO No 108,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE HUATASANI,PE-RUC  20230529974,PERU PUNO PLAZA DE ARMAS S/N 2DO PISO,"Plaza Mayor de Puno, Jr. Deustua 458, Puno 21001, Peru",-15.8405816,-70.0279072,ROOFTOP
MUNICIPALIDAD DISTRITAL DE ANCAHUASI,PE-RUC  20223561510,PERU CUSCO PLAZA DE ARMAS,"Plaza de Armas de Cusco, Del Medio 123, Cusco 08000, Peru",-13.5167681,-71.9787795,ROOFTOP
GOBIERNO REGIONAL DE PUNO-SALUD SAN ROMAN,PE-RUC  20145686548,PERU PUNO CARRETERA JULIACA HUANCANE   JULIACA,"Juliaca, 21104, Peru",-15.5066438,-70.1169401,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE - HUAYLAS,PE-RUC  20195410373,PERU ANCASH PLAZA INDEPENDENCIA S/N,"Independencia, Peru",-9.508099800000002,-77.5046101,APPROXIMATE
PROGRAMA NACIONAL DE INVESTIGACIÓN CIENTÍFICA Y ESTUDIOS AVANZADOS,PE-RUC  20608551698,PERU LIMA CAL.CHINCHÓN NRO. 867,"C. Chinchón 867, San Isidro 15046, Peru",-12.0954579,-77.02808739999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CASTILLO GRANDE,PE-RUC  20601134170,PERU HUANUCO ATAHUALPA MZ F LOTE 38,"F, Huánuco 10001, Peru",-9.9160744,-76.2372753,APPROXIMATE
UNIDAD EJECUTORA EDUCACION CHUMBIVILCAS,PE-RUC  20490212320,PERU CUSCO CALLE LORETO S/N SANTO TOMAS CHUMBIVILCAS CUSCO,"Calle Loreto, Santo Tomás 08421, Peru",-14.4474323,-72.0830842,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE CAJAMARCA-SALUD CUTERVO,PE-RUC  20368945715,PERU CAJAMARCA JR. BENJAMIN DUBLE N° 458,"Jr. Benjamín Duble 458, Cutervo 06701, Peru",-6.3771977,-78.8175145,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE COTAPARACO,PE-RUC  20189311762,PERU ANCASH PLAZA DE ARMAS S/N,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE COCAS,PE-RUC  20202944699,PERU HUANCAVELICA PLAZA DE ARMAS S/N,"Huancavelica 09001, Peru",-12.7861978,-74.9764024,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CAYLLOMA,PE-RUC  20173214121,PERU AREQUIPA PLAZA ZELA NO 202,"C. Zela 202, Arequipa 04001, Peru",-16.39537,-71.5353478,ROOFTOP
MUNICIPALIDAD DISTRITAL DE LEONCIO PRADO - LUCANAS,PE-RUC  20201826102,PERU AYACUCHO PLAZA DE ARMAS,"Plaza de Armas, Ayacucho 05003, Peru",-13.1602899,-74.2258196,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE LA LIBERTAD-EDUCACION USE SANTIAGO DE CHUCO,PE-RUC  20397932886,PERU LA LIBERTAD SAN  MARTIN 844 SANTIAGO DE CHUCO,"Santiago de Chuco, Peru",-8.146883599999999,-78.1721189,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SAN ISIDRO DE MAYNO,PE-RUC  20168006862,PERU AMAZONAS AMAZONAS,"Utcubamba Province, Peru",-5.8615816,-78.3842227,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE PACHIZA,PE-RUC  20211559269,PERU SAN MARTIN CALLE ATAHUALPA Nº105,"C. Atahualpa, Miraflores 15074, Peru",-12.1159265,-77.030599,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE CAMILACA,PE-RUC  20217807311,PERU TACNA PLAZA PRINCIPAL S/N 2DO PISO,"N, Tacna 23006, Peru",-18.0306203,-70.2744089,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE VILAVILA,PE-RUC  20190391613,PERU PUNO PLAZA ANTONIO RAYMONDI S/N 2DO PISO,"Puno, Peru",-15.8402218,-70.0218805,APPROXIMATE
ZONA REGISTRAL N° I SEDE PIURA,PE-RUC  20277412749,PERU PIURA Av. Luis Antonio Equiquizen 770 - Piura,"A, Piura 20008, Peru",-5.182650799999999,-80.6830588,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CAMANTI,PE-RUC  20170326076,PERU CUSCO CARRETERA PRINCIPAL 2DO PISO KM. 244,"Cusco, Peru",-13.53195,-71.96746259999999,APPROXIMATE
ORGANISMO TECNICO DE LA ADMINISTRACION DE SERVICIOS DE SANEAMIENTO,PE-RUC  20565423372,PERU LIMA PASEO DE LA REPUBLICA NRO 3361,"Av. P.º de la República 3361, San Isidro 15047, Peru",-12.0973078,-77.0246686,ROOFTOP
MUNICIPALIDAD DISTRITAL DE BARRANQUITA,PE-RUC  20489051291,PERU SAN MARTIN JIRON FLORIDA SN BARRANQUITA LAMAS SAN MARTIN,"Barranquita 22241, Peru",-6.2503647,-76.0324299,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SEPAHUA,PE-RUC  20186751613,PERU UCAYALI JR. JULIO C. TELLO S/N,"Ucayali, Peru",-9.8251183,-73.087749,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE ACOCRO,PE-RUC  20143628354,PERU AYACUCHO PLAZA PRINCIPAL DE ACOCRO S/N,"Acocro 05306, Peru",-13.2181105,-74.0424972,APPROXIMATE
